sprite,xpos,ypos
groundDirt.png,59,2
groundGrass.png,62,2
groundGrass.png,63,2
groundGrass.png,64,2
groundGrass.png,65,2
groundGrass.png,66,2
groundGrass.png,67,2
groundGrass.png,68,2
groundGrass.png,69,2
groundDirt.png,72,2
groundDirt.png,73,2
groundDirt.png,74,2
groundDirt.png,75,2
groundDirt.png,76,2
groundDirt.png,77,2
groundDirt.png,78,2
groundDirt.png,79,2
groundDirt.png,80,2
groundDirt.png,81,2
groundDirt.png,55,3
groundDirt.png,56,3
groundDirt.png,57,3
groundGrass.png,58,3
groundGrass.png,59,3
groundGrass.png,72,3
groundGrass.png,73,3
groundGrass.png,74,3
groundDirt.png,75,3
groundDirt.png,76,3
groundDirt.png,77,3
groundDirt.png,78,3
groundDirt.png,79,3
groundDirt.png,80,3
groundDirt.png,81,3
groundGrass.png,55,4
groundGrass.png,56,4
groundGrass.png,57,4
groundDirt.png,75,4
groundDirt.png,76,4
groundDirt.png,77,4
groundDirt.png,78,4
groundDirt.png,79,4
groundGrass.png,80,4
groundGrass.png,81,4
groundGrass.png,75,5
groundGrass.png,76,5
groundGrass.png,77,5
groundGrass.png,78,5
groundGrass.png,79,5
groundDirt.png,82,1
groundDirt.png,83,1
groundDirt.png,84,1
groundDirt.png,82,2
groundDirt.png,83,2
groundDirt.png,84,2
groundDirt.png,82,3
groundDirt.png,83,3
groundDirt.png,84,3
groundDirt.png,82,4
groundDirt.png,83,4
groundDirt.png,84,4
groundGrass.png,82,5
groundGrass.png,83,5
groundGrass.png,84,5
groundDirt.png,91,5
groundGrass.png,92,5
groundGrass.png,93,5
groundGrass.png,94,5
groundGrass.png,95,5
groundGrass.png,96,5
groundDirt.png,97,5
groundGrass.png,86,6
groundGrass.png,87,6
groundDirt.png,91,6
groundDirt.png,97,6
groundGrass.png,102,6
groundDirt.png,103,6
groundGrass.png,104,6
groundGrass.png,105,6
groundGrass.png,106,6
groundGrass.png,107,6
groundGrass.png,108,6
groundGrass.png,89,7
groundDirt.png,91,7
groundGrass.png,97,7
groundGrass.png,98,7
groundGrass.png,99,7
groundGrass.png,103,7
groundGrass.png,90,8
groundGrass.png,91,8
groundAsphalt.png,116,1
groundAsphalt.png,117,1
groundAsphalt.png,118,1
groundAsphalt.png,119,1
groundAsphalt.png,120,1
groundAsphalt.png,121,1
groundDirt.png,122,1
groundDirt.png,123,1
groundAsphalt.png,124,1
groundAsphalt.png,125,1
groundAsphalt.png,126,1
groundAsphalt.png,127,1
groundAsphalt.png,128,1
groundAsphalt.png,129,1
groundAsphalt.png,130,1
groundAsphalt.png,131,1
groundAsphalt.png,132,1
groundAsphalt.png,133,1
groundAsphalt.png,134,1
groundDirt.png,135,1
groundAsphalt.png,122,2
groundAsphalt.png,123,2
groundBrick.png,134,2
factoryBlock.png,135,2
groundBrick.png,134,3
factoryBlock.png,135,3
groundBrick.png,129,4
groundBrick.png,130,4
groundBrick.png,131,4
factoryBlock.png,135,4
groundBrick.png,127,5
groundBrick.png,128,5
factoryBlock.png,135,5
groundGrass.png,109,6
groundBrick.png,127,6
groundBrick.png,128,6
factoryBlock.png,135,6
groundGrass.png,110,7
groundGrass.png,111,7
groundGrass.png,112,7
factoryBlock.png,135,7
groundGrass.png,114,8
groundGrass.png,115,8
groundBrick.png,130,8
groundBrick.png,131,8
groundBrick.png,132,8
factoryTop.png,135,8
groundGrass.png,115,9
groundGrass.png,116,9
groundGrass.png,117,9
groundGrass.png,118,9
groundGrass.png,121,10
groundGrass.png,122,10
groundGrass.png,123,11
groundBrick.png,124,11
groundBrick.png,124,12
groundBrick.png,124,13
groundBrick.png,124,14
groundBrick.png,124,15
groundBrick.png,124,16
groundBrick.png,124,17
factoryTop.png,136,8
factoryBlock.png,137,8
factoryTop.png,137,9
factoryBlock.png,138,9
factoryTop.png,138,10
factoryBlock.png,139,10
factoryBlock.png,147,10
factoryTop.png,148,10
factoryTop.png,149,10
factoryTop.png,150,10
factoryTop.png,151,10
factoryTop.png,152,10
factoryTop.png,153,10
factoryTop.png,154,10
factoryTop.png,155,10
factoryTop.png,156,10
factoryTop.png,157,10
factoryBlock.png,158,10
factoryBlock.png,159,10
factoryBlock.png,162,10
factoryTop.png,139,11
factoryTop.png,142,11
factoryTop.png,143,11
factoryTop.png,146,11
factoryTop.png,147,11
factoryTop.png,158,11
factoryBlock.png,159,11
factoryBlock.png,162,11
factoryTop.png,159,12
factoryTop.png,162,12
factoryTop.png,149,13
factoryTop.png,150,13
factoryTop.png,151,13
factoryTop.png,152,13
factoryTop.png,155,13
factoryTop.png,156,13
factoryTop.png,184,1
factoryTop.png,185,1
factoryTop.png,186,1
factoryTop.png,187,1
factoryTop.png,188,1
factoryTop.png,189,1
factoryTop.png,172,11
factoryTop.png,173,11
factoryTop.png,174,11
factoryTop.png,175,11
factoryTop.png,176,11
factoryTop.png,177,11
factoryTop.png,178,11
factoryTop.png,179,11
factoryTop.png,163,12
factoryTop.png,164,12
factoryTop.png,165,12
factoryBlock.png,172,12
factoryBlock.png,178,12
factoryBlock.png,179,12
factoryTop.png,166,13
factoryBlock.png,167,13
factoryBlock.png,172,13
factoryBlock.png,179,13
factoryBlock.png,180,13
factoryTop.png,167,14
factoryTop.png,169,14
factoryTop.png,170,14
factoryTop.png,171,14
factoryTop.png,172,14
factoryTop.png,175,14
factoryTop.png,176,14
factoryTop.png,179,14
factoryTop.png,180,14
factoryTop.png,181,14
factoryTop.png,182,14
factoryTop.png,183,14
factoryTop.png,184,14
factoryTop.png,187,14
factoryTop.png,188,14
factoryBlock.png,189,14
factoryBlock.png,175,15
factoryBlock.png,179,15
factoryBlock.png,180,15
factoryBlock.png,189,15
factoryBlock.png,175,16
factoryBlock.png,189,16
factoryBlock.png,175,17
factoryBlock.png,189,17
factoryBlock.png,190,1
factoryBlock.png,191,1
factoryBlock.png,192,1
factoryBlock.png,193,1
factoryBlock.png,194,1
factoryBlock.png,195,1
factoryBlock.png,196,1
factoryBlock.png,197,1
factoryBlock.png,198,1
factoryBlock.png,199,1
factoryBlock.png,200,1
factoryBlock.png,201,1
factoryBlock.png,202,1
factoryBlock.png,203,1
factoryBlock.png,204,1
factoryBlock.png,205,1
factoryBlock.png,206,1
factoryBlock.png,207,1
factoryBlock.png,208,1
factoryBlock.png,209,1
factoryBlock.png,210,1
factoryBlock.png,211,1
factoryBlock.png,212,1
factoryBlock.png,213,1
factoryBlock.png,214,1
factoryBlock.png,215,1
factoryBlock.png,216,1
factoryBlock.png,217,1
factoryBlock.png,218,1
factoryBlock.png,219,1
factoryBlock.png,220,1
factoryTop.png,190,2
factoryBlock.png,191,2
factoryBlock.png,192,2
factoryBlock.png,193,2
factoryBlock.png,194,2
factoryBlock.png,195,2
factoryTop.png,196,2
factoryTop.png,197,2
factoryTop.png,198,2
factoryTop.png,199,2
factoryTop.png,200,2
factoryTop.png,201,2
factoryTop.png,202,2
factoryTop.png,203,2
factoryTop.png,204,2
factoryTop.png,205,2
factoryTop.png,206,2
factoryTop.png,207,2
factoryTop.png,208,2
factoryTop.png,209,2
factoryTop.png,210,2
factoryTop.png,211,2
factoryTop.png,212,2
factoryTop.png,213,2
factoryTop.png,214,2
factoryBlock.png,215,2
factoryBlock.png,216,2
factoryBlock.png,217,2
factoryBlock.png,218,2
factoryBlock.png,219,2
factoryBlock.png,220,2
factoryBlock.png,191,3
factoryBlock.png,192,3
factoryBlock.png,193,3
factoryBlock.png,194,3
factoryBlock.png,195,3
factoryBlock.png,215,3
factoryBlock.png,216,3
factoryBlock.png,217,3
factoryBlock.png,218,3
factoryBlock.png,219,3
factoryTop.png,192,4
factoryTop.png,193,4
factoryTop.png,194,4
factoryTop.png,216,4
factoryTop.png,217,4
factoryTop.png,218,4
factoryTop.png,197,5
factoryTop.png,198,5
factoryTop.png,199,5
factoryTop.png,200,5
factoryTop.png,201,5
factoryTop.png,209,5
factoryTop.png,210,5
factoryTop.png,211,5
factoryTop.png,212,5
factoryTop.png,213,5
factoryTop.png,203,7
factoryTop.png,204,7
factoryTop.png,205,7
factoryTop.png,206,7
factoryTop.png,207,7
factoryTop.png,197,8
factoryTop.png,198,8
factoryTop.png,199,8
factoryTop.png,200,8
factoryTop.png,210,8
factoryTop.png,211,8
factoryTop.png,212,8
factoryTop.png,213,8
factoryBlock.png,196,9
factoryBlock.png,214,9
factoryTop.png,195,10
factoryTop.png,196,10
factoryTop.png,214,10
factoryTop.png,215,10
factoryTop.png,199,11
factoryTop.png,200,11
factoryTop.png,201,11
factoryTop.png,202,11
factoryTop.png,203,11
factoryTop.png,204,11
factoryTop.png,205,11
factoryTop.png,206,11
factoryTop.png,207,11
factoryTop.png,208,11
factoryTop.png,209,11
factoryTop.png,210,11
factoryTop.png,211,11
factoryBlock.png,190,15
factoryBlock.png,220,15
factoryBlock.png,190,16
factoryBlock.png,191,16
factoryBlock.png,219,16
factoryBlock.png,220,16
factoryBlock.png,190,17
factoryBlock.png,191,17
factoryBlock.png,192,17
factoryBlock.png,193,17
factoryBlock.png,194,17
factoryBlock.png,195,17
factoryBlock.png,196,17
factoryBlock.png,197,17
factoryBlock.png,198,17
factoryBlock.png,199,17
factoryBlock.png,200,17
factoryBlock.png,201,17
factoryBlock.png,202,17
factoryBlock.png,203,17
factoryBlock.png,204,17
factoryBlock.png,205,17
factoryBlock.png,206,17
factoryBlock.png,207,17
factoryBlock.png,208,17
factoryBlock.png,209,17
factoryBlock.png,210,17
factoryBlock.png,211,17
factoryBlock.png,212,17
factoryBlock.png,213,17
factoryBlock.png,214,17
factoryBlock.png,215,17
factoryBlock.png,216,17
factoryBlock.png,217,17
factoryBlock.png,218,17
factoryBlock.png,219,17
factoryBlock.png,220,17
